S_No,Speed_Range,Weight,Dead_Alive,Airbag,Seatbelt,Frontal,Sex,Age_of_Occupant,Year_of_Accident,Vehicle_Year,Airbag_Deploy,Occ_Role,Inj_Severity
2002,25-39,51.137,alive,No Airbag,Yes,FALSE,Male,57,1997,1989,Unavailable,Driver,0
2003,25-39,51.137,alive,No Airbag,Yes,FALSE,Female,57,1997,1989,Unavailable,Passenger,3
2004, 10-24,4166.155,alive,No Airbag,Yes,TRUE,Male,25,1997,1988,Unavailable,Driver,0
2005, 10-24,4166.155,alive,Airbag,Yes,FALSE,Female,34,1997,1994,NoDeploy,Driver,0
2006, 10-24,38.595,alive,No Airbag,Yes,TRUE,Male,30,1997,1987,Unavailable,Driver,0
2007,25-39,51.137,alive,No Airbag,Yes,FALSE,Male,80,1997,1992,Unavailable,Driver,3
2008,25-39,51.137,alive,No Airbag,Yes,FALSE,Female,67,1997,1992,Unavailable,Passenger,0
2009, 10-24,242.777,alive,No Airbag,Yes,FALSE,Female,80,1997,1986,Unavailable,Driver,3
2010, 10-24,242.777,alive,No Airbag,Yes,TRUE,Male,17,1997,1989,Unavailable,Driver,1
2011,55+,38.595,alive,No Airbag,Yes,FALSE,Female,22,1997,1994,Unavailable,Driver,3
2012,55+,38.595,alive,Airbag,Yes,TRUE,Male,18,1997,1991,Deploy,Driver,3
2013, 10-24,226.734,alive,No Airbag,Yes,FALSE,Female,20,1997,1989,Unavailable,Driver,1
2014, 10-24,226.734,alive,Airbag,Yes,TRUE,Female,58,1997,1994,Deploy,Driver,1
2015,25-39,158.865,alive,No Airbag,Yes,FALSE,Female,16,1997,1984,Unavailable,Driver,1
2016,25-39,158.865,alive,No Airbag,Yes,TRUE,Female,17,1997,1989,Unavailable,Driver,3
2017, 10-24,755.251,alive,No Airbag,Yes,TRUE,Male,37,1997,1980,Unavailable,Driver,2
2018, 10-24,5276.756,alive,No Airbag,Yes,TRUE,Female,26,1997,1993,Unavailable,Driver,0
2019,40-54,45.697,alive,No Airbag,No,TRUE,Male,60,1997,1988,Unavailable,Driver,3
2020, 10-24,42.754,alive,Airbag,Yes,TRUE,Female,30,1997,1995,Deploy,Driver,3
2021, 10-24,75.528,alive,No Airbag,Yes,FALSE,Female,53,1997,1989,Unavailable,Driver,0
2022, 10-24,75.528,alive,No Airbag,Yes,FALSE,Male,67,1997,1989,Unavailable,Passenger,0
2023, 10-24,75.528,alive,Airbag,Yes,TRUE,Male,39,1997,1993,Deploy,Driver,3
2024, 10-24,685.429,alive,No Airbag,Yes,TRUE,Female,23,1997,1994,Unavailable,Driver,0
2025, 10-24,685.429,alive,Airbag,Yes,FALSE,Female,24,1997,1996,Deploy,Driver,0
2026, 1-9,2038.232,alive,No Airbag,Yes,FALSE,Male,46,1997,1985,Unavailable,Driver,0
2027,40-54,51.137,alive,No Airbag,No,TRUE,Male,32,1997,1987,Unavailable,Driver,3
2028,25-39,392.234,alive,Airbag,Yes,FALSE,Female,16,1997,1995,NoDeploy,Driver,2
2029,25-39,392.234,alive,No Airbag,Yes,TRUE,Female,37,1997,1990,Unavailable,Driver,1
2030,25-39,5367.344,alive,No Airbag,Yes,TRUE,Male,30,1997,1985,Unavailable,Driver,0
2031,25-39,5367.344,alive,No Airbag,Yes,TRUE,Male,30,1997,1985,Unavailable,Passenger,0
2032,40-54,38.595,alive,Airbag,Yes,TRUE,Male,36,1997,1994,Deploy,Passenger,3
2033,25-39,162.956,alive,No Airbag,Yes,TRUE,Male,25,1997,1991,Unavailable,Driver,2
2034,25-39,162.956,alive,No Airbag,Yes,TRUE,Male,25,1997,1991,Unavailable,Passenger,3
2035, 10-24,162.956,alive,Airbag,Yes,FALSE,Male,24,1997,1997,Deploy,Driver,1
2036, 10-24,774.699,alive,No Airbag,Yes,FALSE,Female,36,1997,1993,Unavailable,Driver,1
2037, 10-24,774.699,alive,Airbag,Yes,TRUE,Male,44,1997,1990,Deploy,Driver,0
2038,25-39,41.253,alive,No Airbag,No,TRUE,Female,26,1997,1983,Unavailable,Driver,2
2039,55+,38.595,alive,Airbag,Yes,TRUE,Male,42,1997,1995,Deploy,Driver,3
2040,55+,38.595,alive,Airbag,Yes,TRUE,Female,29,1997,1995,Deploy,Driver,3
2041,25-39,38.595,alive,Airbag,Yes,FALSE,Female,28,1997,1994,Deploy,Driver,3
2042, 10-24,38.595,alive,Airbag,Yes,TRUE,Male,37,1997,1997,Deploy,Driver,2
2043,25-39,51.137,alive,No Airbag,Yes,TRUE,Male,38,1997,1990,Unavailable,Driver,3
2044,25-39,51.137,alive,Airbag,Yes,TRUE,Male,40,1997,1997,Deploy,Driver,2
2045, 10-24,79.433,alive,No Airbag,Yes,TRUE,Female,24,1997,1986,Unavailable,Driver,1
2046, 10-24,79.433,alive,No Airbag,Yes,FALSE,Female,22,1997,1985,Unavailable,Driver,3
2047, 10-24,79.433,alive,No Airbag,Yes,FALSE,Male,32,1997,1985,Unavailable,Passenger,1
2048,25-39,79.433,alive,No Airbag,Yes,FALSE,Male,22,1997,1989,Unavailable,Driver,3
2049,25-39,79.433,alive,No Airbag,Yes,TRUE,Male,21,1997,1984,Unavailable,Driver,3
2050,25-39,79.433,alive,No Airbag,Yes,TRUE,Male,22,1997,1984,Unavailable,Passenger,1
2051,40-54,192.807,alive,Airbag,Yes,FALSE,Female,16,1997,1995,Deploy,Driver,2
2052,40-54,192.807,alive,Airbag,Yes,FALSE,Male,16,1997,1995,Deploy,Passenger,1
2053,25-39,192.807,alive,No Airbag,Yes,TRUE,Female,41,1997,1992,Unavailable,Driver,0
2054,25-39,192.807,alive,No Airbag,Yes,TRUE,Male,34,1997,1992,Unavailable,Passenger,0
2055, 10-24,377.625,alive,No Airbag,Yes,TRUE,Male,32,1997,1989,Unavailable,Driver,0
2056,25-39,377.625,alive,No Airbag,Yes,TRUE,Male,24,1997,1984,Unavailable,Driver,1
2057,40-54,41.253,dead,No Airbag,Yes,TRUE,Female,47,1997,1989,Unavailable,Driver,4
2058,25-39,41.253,alive,Airbag,Yes,TRUE,Male,80,1997,1995,Deploy,Driver,3
2059,25-39,41.253,alive,No Airbag,Yes,TRUE,Female,76,1997,1995,Unavailable,Passenger,3
2060, 10-24,167.155,alive,Airbag,Yes,FALSE,Male,51,1997,1995,NoDeploy,Driver,0
2061, 10-24,167.155,alive,Airbag,Yes,FALSE,Female,46,1997,1995,NoDeploy,Passenger,1
2062, 1-9,167.155,alive,Airbag,Yes,FALSE,Female,17,1997,1994,Deploy,Driver,2
2063, 1-9,167.155,alive,Airbag,Yes,FALSE,Female,16,1997,1994,Deploy,Passenger,2
2064, 10-24,327.383,alive,No Airbag,No,TRUE,Female,30,1997,1985,Unavailable,Driver,1
2065, 10-24,327.383,alive,Airbag,Yes,FALSE,Female,35,1997,1993,NoDeploy,Driver,1
2066, 10-24,769.204,alive,Airbag,Yes,FALSE,Female,67,1997,1994,NoDeploy,Driver,1
2067, 10-24,769.204,alive,Airbag,Yes,FALSE,Male,71,1997,1994,NoDeploy,Passenger,1
2068, 1-9,2287.349,alive,No Airbag,Yes,TRUE,Female,16,1997,1989,Unavailable,Driver,0
2069, 1-9,2287.349,alive,No Airbag,No,TRUE,Male,16,1997,1989,Unavailable,Passenger,0
2070,25-39,51.137,alive,No Airbag,Yes,TRUE,Male,24,1997,1992,Unavailable,Driver,0
2071,25-39,51.137,alive,No Airbag,Yes,TRUE,Female,23,1997,1992,Unavailable,Passenger,3
2072, 10-24,207.537,alive,Airbag,Yes,FALSE,Female,47,1997,1995,NoDeploy,Driver,2
2073, 10-24,207.537,alive,No Airbag,Yes,TRUE,Male,40,1997,1994,Unavailable,Driver,2
2074,25-39,207.537,alive,No Airbag,Yes,TRUE,Female,26,1997,1994,Unavailable,Driver,2
2075, 10-24,406.474,alive,No Airbag,Yes,TRUE,Female,28,1997,1988,Unavailable,Driver,2
2076, 10-24,406.474,alive,No Airbag,Yes,TRUE,Male,28,1997,1988,Unavailable,Passenger,2
2077, 10-24,406.474,alive,Airbag,Yes,FALSE,Female,27,1997,1992,Deploy,Driver,2
2078, 10-24,955.032,alive,Airbag,Yes,TRUE,Female,29,1997,1994,Deploy,Driver,0
2079, 10-24,2839.936,alive,No Airbag,No,TRUE,Male,28,1997,1988,Unavailable,Driver,0
2080,40-54,51.137,alive,No Airbag,Yes,TRUE,Female,31,1997,1979,Unavailable,Driver,3
2081,25-39,51.137,alive,No Airbag,Yes,FALSE,Female,69,1997,1987,Unavailable,Driver,3
2082,25-39,51.137,alive,No Airbag,Yes,FALSE,Female,71,1997,1987,Unavailable,Passenger,1
2083,40-54,68.781,alive,No Airbag,Yes,FALSE,Female,25,1997,1987,Unavailable,Driver,3
2084,25-39,68.781,alive,Airbag,Yes,TRUE,Female,20,1997,1996,Deploy,Driver,1
2085,25-39,68.781,alive,No Airbag,Yes,FALSE,Female,19,1997,1989,Unavailable,Driver,3
2086, 10-24,326.985,alive,No Airbag,Yes,FALSE,Male,26,1997,1990,Unavailable,Driver,1
2087, 10-24,326.985,alive,No Airbag,Yes,TRUE,Female,19,1997,1989,Unavailable,Driver,0
2088, 10-24,768.269,alive,Airbag,Yes,TRUE,Female,25,1997,1995,NoDeploy,Driver,0
2089,25-39,41.253,alive,No Airbag,Yes,TRUE,Male,44,1997,1990,Unavailable,Driver,1
2090,25-39,41.253,alive,No Airbag,No,TRUE,Female,30,1997,1990,Unavailable,Passenger,1
2091,40-54,41.253,alive,Airbag,Yes,FALSE,Female,77,1997,1994,Deploy,Driver,3
2092,40-54,41.253,dead,Airbag,Yes,FALSE,Female,72,1997,1994,Deploy,Passenger,4
2093, 10-24,38.595,alive,Airbag,Yes,TRUE,Female,58,1997,1992,Deploy,Driver,0
2094, 10-24,38.595,alive,No Airbag,Yes,FALSE,Female,32,1997,1994,Unavailable,Driver,3
2095, 10-24,38.595,alive,Airbag,Yes,FALSE,Male,25,1997,1995,Deploy,Driver,3
2096,25-39,1467.961,alive,No Airbag,Yes,TRUE,Female,36,1997,1989,Unavailable,Driver,2
2097,25-39,1467.961,alive,No Airbag,Yes,TRUE,Female,62,1997,1989,Unavailable,Passenger,1
2098,25-39,51.137,alive,Airbag,Yes,FALSE,Male,16,1997,1990,NoDeploy,Driver,3
2099, 10-24,72.819,alive,Airbag,Yes,TRUE,Male,26,1997,1997,Deploy,Driver,1
2100, 10-24,176.754,alive,Airbag,Yes,FALSE,Male,59,1997,1995,NoDeploy,Driver,1
2101, 10-24,176.754,alive,Airbag,Yes,FALSE,Female,54,1997,1995,NoDeploy,Passenger,1
2102, 10-24,38.595,alive,No Airbag,Yes,TRUE,Male,39,1997,1992,Unavailable,Driver,0
2103, 10-24,38.595,alive,Airbag,Yes,FALSE,Female,19,1997,1995,NoDeploy,Driver,3
2104, 10-24,38.595,alive,Airbag,Yes,FALSE,Male,24,1997,1995,NoDeploy,Passenger,0
2105, 10-24,268.109,alive,No Airbag,Yes,TRUE,Male,26,1997,1990,Unavailable,Driver,2
2106, 10-24,525.11,alive,No Airbag,Yes,FALSE,Female,16,1997,1988,Unavailable,Driver,2
2107, 10-24,525.11,alive,No Airbag,No,TRUE,Male,22,1997,1986,Unavailable,Driver,2
2108, 10-24,1233.773,alive,Airbag,Yes,FALSE,Female,34,1997,1995,NoDeploy,Driver,0
2109,25-39,38.595,alive,Airbag,Yes,FALSE,Female,33,1997,1995,NoDeploy,Driver,3
2110,25-39,38.595,alive,Airbag,Yes,FALSE,Female,29,1997,1995,NoDeploy,Passenger,3
2111,25-39,38.595,alive,No Airbag,Yes,TRUE,Male,16,1997,1992,Unavailable,Driver,0
2112,25-39,38.595,alive,No Airbag,Yes,TRUE,Male,17,1997,1992,Unavailable,Passenger,1
2113,25-39,51.137,alive,No Airbag,Yes,TRUE,Male,20,1997,1987,Unavailable,Driver,2
2114,25-39,51.137,alive,No Airbag,Yes,TRUE,Female,24,1997,1987,Unavailable,Passenger,2
2115,25-39,51.137,alive,No Airbag,Yes,TRUE,Female,71,1997,1987,Unavailable,Driver,3
2116,25-39,51.137,alive,No Airbag,Yes,TRUE,Female,47,1997,1985,Unavailable,Driver,3
2117,25-39,51.137,alive,No Airbag,No,TRUE,Female,36,1997,1985,Unavailable,Passenger,3
2118, 10-24,410.439,alive,No Airbag,Yes,TRUE,Female,17,1997,1994,Unavailable,Driver,0
2119,25-39,38.595,alive,No Airbag,Yes,FALSE,Male,39,1997,1989,Unavailable,Driver,0
2120,25-39,38.595,alive,No Airbag,Yes,FALSE,Female,41,1997,1989,Unavailable,Passenger,3
2121, 10-24,38.595,alive,Airbag,Yes,TRUE,Male,79,1997,1995,Deploy,Driver,3
2122,25-39,56.981,alive,Airbag,Yes,TRUE,Female,38,1997,1995,Deploy,Driver,0
2123,25-39,56.981,alive,Airbag,Yes,FALSE,Male,65,1997,1990,Deploy,Driver,3
2124, 10-24,138.31,alive,Airbag,Yes,FALSE,Female,39,1997,1994,Deploy,Driver,2
2125, 10-24,138.31,alive,No Airbag,Yes,FALSE,Female,46,1997,1994,Unavailable,Passenger,1
2126, 10-24,270.89,alive,No Airbag,Yes,TRUE,Female,36,1997,1992,Unavailable,Driver,1
2127, 10-24,270.89,alive,Airbag,Yes,FALSE,Male,23,1997,1991,NoDeploy,Driver,1
2128, 10-24,270.89,alive,Airbag,Yes,FALSE,Female,26,1997,1991,NoDeploy,Passenger,1
2129, 10-24,636.47,alive,Airbag,Yes,FALSE,Male,31,1997,1994,Deploy,Driver,0
2130, 10-24,41.253,alive,Airbag,Yes,TRUE,Female,38,1997,1994,Deploy,Driver,1
2131,25-39,38.595,alive,No Airbag,Yes,TRUE,Male,52,1997,1994,Unavailable,Driver,3
2132, 10-24,70.91,alive,No Airbag,No,FALSE,Female,23,1997,1988,Unavailable,Driver,3
2133, 10-24,70.91,alive,Airbag,Yes,TRUE,Female,25,1997,1990,NoDeploy,Driver,1
2134, 10-24,70.91,alive,Airbag,Yes,TRUE,Male,27,1997,1990,NoDeploy,Passenger,0
2135, 10-24,172.12,alive,Airbag,Yes,TRUE,Female,27,1997,1995,Deploy,Driver,1
2136, 10-24,172.12,alive,Airbag,Yes,TRUE,Male,37,1997,1995,Deploy,Passenger,1
2137, 10-24,172.12,alive,Airbag,Yes,FALSE,Male,25,1997,1996,Deploy,Driver,1
2138, 10-24,172.12,alive,Airbag,Yes,FALSE,Female,26,1997,1996,Deploy,Passenger,1
2139, 10-24,337.108,alive,Airbag,Yes,TRUE,Male,24,1997,1992,Deploy,Driver,0
2140, 10-24,337.108,alive,No Airbag,Yes,TRUE,Female,19,1997,1992,Unavailable,Passenger,1
2141, 10-24,337.108,alive,No Airbag,Yes,TRUE,Female,18,1997,1989,Unavailable,Driver,2
2142, 10-24,337.108,alive,No Airbag,Yes,FALSE,Male,36,1997,1989,Unavailable,Driver,1
2143, 10-24,337.108,alive,No Airbag,Yes,FALSE,Male,33,1997,1989,Unavailable,Passenger,1
2144,25-39,38.595,alive,Airbag,Yes,FALSE,Male,37,1997,1995,Deploy,Driver,0
2145,25-39,38.595,alive,No Airbag,No,TRUE,Male,31,1997,1984,Unavailable,Driver,2
2146,25-39,93.751,alive,No Airbag,Yes,TRUE,Male,34,1997,1991,Unavailable,Driver,1
2147,40-54,93.751,alive,No Airbag,Yes,FALSE,Male,50,1997,1990,Unavailable,Driver,3
2148, 10-24,445.695,alive,No Airbag,Yes,TRUE,Male,33,1997,1979,Unavailable,Driver,1
2149,40-54,51.137,alive,No Airbag,Yes,TRUE,Female,71,1997,1988,Unavailable,Driver,3
2150, 10-24,191.98,alive,No Airbag,Yes,TRUE,Female,17,1997,1991,Unavailable,Driver,1
2151, 10-24,2627.054,alive,No Airbag,Yes,TRUE,Female,45,1997,1993,Unavailable,Driver,0
2152, 1-9,38.595,alive,Airbag,Yes,FALSE,Male,24,1997,1997,Deploy,Driver,3
2153,25-39,38.595,alive,No Airbag,Yes,FALSE,Female,30,1997,1994,Unavailable,Driver,2
2154,25-39,38.595,alive,No Airbag,Yes,FALSE,Female,55,1997,1994,Unavailable,Passenger,1
2155,25-39,38.595,alive,Airbag,Yes,TRUE,Female,50,1997,1996,Deploy,Driver,3
2156, 10-24,1195.694,alive,Airbag,Yes,TRUE,Female,25,1997,1993,NoDeploy,Driver,0
2157, 10-24,1195.694,alive,No Airbag,Yes,TRUE,Male,25,1997,1983,Unavailable,Driver,0
2158, 10-24,3555.582,alive,No Airbag,Yes,TRUE,Male,19,1997,1987,Unavailable,Driver,0
2159, 10-24,3555.582,alive,No Airbag,Yes,FALSE,Female,18,1997,1986,Unavailable,Driver,0
2160, 10-24,3555.582,alive,No Airbag,Yes,FALSE,Female,20,1997,1986,Unavailable,Passenger,0
2161, 10-24,261.99,alive,Airbag,Yes,FALSE,Male,46,1997,1993,NoDeploy,Driver,0
2162, 10-24,261.99,alive,Airbag,Yes,FALSE,Female,42,1997,1993,NoDeploy,Passenger,0
2163, 10-24,3585.08,alive,Airbag,Yes,FALSE,Female,21,1997,1993,NoDeploy,Driver,1
2164,40-54,41.253,alive,No Airbag,Yes,TRUE,Male,17,1997,1990,Unavailable,Driver,2
2165, 10-24,51.137,alive,No Airbag,Yes,TRUE,Female,31,1997,1990,Unavailable,Driver,2
2166, 10-24,51.137,alive,No Airbag,Yes,TRUE,Male,36,1997,1990,Unavailable,Passenger,3
2167, 10-24,51.137,alive,Airbag,Yes,TRUE,Female,38,1997,1995,NoDeploy,Driver,1
2168, 10-24,51.137,alive,No Airbag,Yes,FALSE,Female,52,1997,1990,Unavailable,Driver,3
2169,25-39,689.711,alive,Airbag,Yes,TRUE,Male,22,1997,1994,Deploy,Driver,2
2170,55+,41.253,dead,No Airbag,Yes,TRUE,Male,55,1997,1986,Unavailable,Driver,4
2171,55+,41.253,alive,No Airbag,Yes,TRUE,Male,50,1997,1986,Unavailable,Passenger,3
2172, 10-24,38.595,alive,Airbag,Yes,FALSE,Female,68,1997,1994,Deploy,Driver,3
2173,25-39,51.137,alive,No Airbag,Yes,TRUE,Male,30,1997,1990,Unavailable,Driver,3
2174,40-54,51.137,alive,No Airbag,Yes,TRUE,Male,23,1997,1989,Unavailable,Driver,3
2175, 10-24,784.423,alive,Airbag,Yes,TRUE,Male,55,1997,1993,Deploy,Driver,3
2176,25-39,1843.044,alive,Airbag,Yes,TRUE,Female,27,1997,1992,NoDeploy,Driver,0
2177, 10-24,166.836,alive,No Airbag,Yes,FALSE,Male,16,1997,1990,Unavailable,Driver,3
2178, 10-24,166.836,alive,No Airbag,Yes,FALSE,Male,16,1997,1990,Unavailable,Passenger,2
2179,25-39,404.961,alive,Airbag,Yes,TRUE,Female,17,1997,1997,Deploy,Driver,5
2180, 1-9,1863.53,alive,Airbag,Yes,FALSE,Male,26,1997,1997,NoDeploy,Driver,0
2181,40-54,38.595,alive,Airbag,Yes,TRUE,Male,19,1997,1997,Deploy,Driver,3
2182,25-39,38.595,alive,No Airbag,Yes,TRUE,Female,17,1997,1990,Unavailable,Driver,1
2183,25-39,38.595,alive,No Airbag,Yes,TRUE,Female,17,1997,1990,Unavailable,Passenger,1
2184, 10-24,4191.284,alive,Airbag,Yes,TRUE,Female,50,1997,1992,NoDeploy,Driver,1
2185,55+,41.253,dead,No Airbag,No,TRUE,Male,26,1997,1978,Unavailable,Driver,4
2186,55+,41.253,alive,No Airbag,Yes,TRUE,Male,26,1997,1989,Unavailable,Driver,3
2187,55+,41.253,alive,No Airbag,Yes,TRUE,Male,28,1997,1989,Unavailable,Passenger,3
2188, 10-24,38.595,alive,No Airbag,Yes,TRUE,Male,23,1997,1988,Unavailable,Driver,0
2189, 10-24,38.595,alive,No Airbag,Yes,TRUE,Male,25,1997,1988,Unavailable,Passenger,0
2190, 10-24,38.595,alive,Airbag,Yes,FALSE,Male,32,1997,1996,Deploy,Driver,3
2191, 10-24,38.595,alive,Airbag,Yes,FALSE,Female,33,1997,1996,Deploy,Passenger,3
2192, 10-24,279.281,alive,Airbag,No,FALSE,Female,19,1997,1995,NoDeploy,Driver,1
2193, 10-24,279.281,alive,Airbag,Yes,FALSE,Male,21,1997,1995,NoDeploy,Passenger,1
2194, 10-24,279.281,alive,Airbag,Yes,TRUE,Female,17,1997,1993,NoDeploy,Driver,1
2195, 10-24,279.281,alive,Airbag,Yes,TRUE,Female,20,1997,1993,NoDeploy,Passenger,2
2196,25-39,546.989,alive,No Airbag,Yes,FALSE,Female,19,1997,1985,Unavailable,Driver,1
2197,25-39,546.989,alive,No Airbag,No,TRUE,Female,31,1997,1993,Unavailable,Driver,1
2198, 1-9,3821.685,alive,Airbag,Yes,TRUE,Male,19,1997,1992,NoDeploy,Driver,0
2199,25-39,41.253,dead,No Airbag,Yes,TRUE,Female,73,1997,1988,Unavailable,Driver,4
2200, 10-24,41.253,alive,Airbag,Yes,FALSE,Female,45,1997,1996,NoDeploy,Driver,1
2201, 10-24,41.253,alive,Airbag,Yes,FALSE,Female,29,1997,1996,NoDeploy,Passenger,1
2202,25-39,38.595,alive,No Airbag,No,TRUE,Male,36,1997,1997,Unavailable,Driver,2
2203,55+,38.595,alive,Airbag,Yes,TRUE,Male,33,1997,1995,Deploy,Driver,2
2204,55+,38.595,alive,No Airbag,Yes,TRUE,Female,31,1997,1995,Unavailable,Passenger,3
2205, 10-24,38.595,alive,Airbag,Yes,TRUE,Female,31,1997,1996,NoDeploy,Driver,1
2206,40-54,1468.363,alive,No Airbag,Yes,TRUE,Female,21,1997,1988,Unavailable,Driver,2
2207,40-54,1468.363,alive,No Airbag,Yes,TRUE,Female,22,1997,1988,Unavailable,Passenger,2
2208,40-54,41.253,dead,Airbag,Yes,TRUE,Male,23,1997,1995,Deploy,Driver,4
2209, 10-24,51.137,alive,No Airbag,No,TRUE,Male,35,1997,1989,Unavailable,Driver,3
2210,25-39,40.911,alive,Airbag,Yes,FALSE,Female,42,1997,1997,Deploy,Driver,3
2211, 10-24,40.911,alive,Airbag,Yes,TRUE,Male,48,1997,1991,Deploy,Driver,1
2212,40-54,38.595,alive,Airbag,Yes,FALSE,Female,72,1997,1995,Deploy,Driver,3
2213,40-54,51.137,alive,No Airbag,Yes,TRUE,Female,24,1997,1993,Unavailable,Driver,3
2214,25-39,213.882,alive,No Airbag,Yes,FALSE,Male,20,1997,1989,Unavailable,Driver,0
2215,25-39,213.882,alive,No Airbag,Yes,FALSE,Female,17,1997,1989,Unavailable,Passenger,3
2216, 10-24,519.156,alive,Airbag,Yes,TRUE,Female,77,1997,1994,Deploy,Driver,2
2217, 10-24,519.156,alive,Airbag,Yes,TRUE,Female,78,1997,1994,Deploy,Passenger,2
2218, 1-9,2389.026,alive,No Airbag,Yes,FALSE,Male,26,1997,1989,Unavailable,Driver,1
2219, 1-9,2389.026,alive,Airbag,Yes,TRUE,Female,20,1997,1996,Deploy,Driver,1
2220, 1-9,2389.026,alive,Airbag,No,TRUE,Female,16,1997,1996,Deploy,Passenger,1
2221,40-54,41.253,dead,Airbag,No,FALSE,Female,22,1997,1995,Deploy,Driver,4
2222,25-39,51.137,alive,No Airbag,Yes,TRUE,Female,56,1997,1993,Unavailable,Driver,3
2223,55+,51.137,alive,Airbag,No,FALSE,Male,25,1997,1989,Deploy,Driver,3
2224, 10-24,41.44,alive,Airbag,Yes,FALSE,Female,25,1997,1994,Deploy,Driver,3
2225, 10-24,41.44,alive,Airbag,Yes,FALSE,Female,22,1997,1994,Deploy,Passenger,0
2226,25-39,41.44,alive,Airbag,Yes,TRUE,Male,22,1997,1994,Deploy,Driver,3
2227,25-39,41.44,alive,No Airbag,Yes,TRUE,Male,24,1997,1994,Unavailable,Passenger,3
2228,25-39,41.44,alive,Airbag,Yes,FALSE,Female,48,1997,1997,Deploy,Driver,1
2229, 10-24,821.538,alive,No Airbag,Yes,TRUE,Male,57,1997,1990,Unavailable,Driver,1
2230,25-39,821.538,alive,No Airbag,Yes,TRUE,Female,21,1997,1992,Unavailable,Driver,1
2231,25-39,821.538,alive,No Airbag,Yes,TRUE,Female,51,1997,1992,Unavailable,Passenger,1
2232, 10-24,5739.887,alive,No Airbag,No,TRUE,Male,37,1997,1987,Unavailable,Driver,2
2233,40-54,38.595,dead,No Airbag,Yes,TRUE,Female,72,1997,1994,Unavailable,Driver,3
2234, 10-24,3561.64,alive,No Airbag,Yes,FALSE,Female,42,1997,1989,Unavailable,Driver,1
2235, 10-24,3561.64,alive,No Airbag,Yes,TRUE,Male,25,1997,1987,Unavailable,Driver,0
2236, 10-24,311.901,alive,Airbag,Yes,FALSE,Female,42,1997,1996,NoDeploy,Driver,1
2237,25-39,311.901,alive,No Airbag,No,TRUE,Male,61,1997,1987,Unavailable,Driver,1
2238, 10-24,38.595,alive,Airbag,Yes,FALSE,Female,53,1997,1995,Deploy,Driver,3
2239, 10-24,2763.333,alive,No Airbag,Yes,FALSE,Male,25,1997,1993,Unavailable,Driver,1
2240, 10-24,2763.333,alive,No Airbag,Yes,TRUE,Male,18,1997,1989,Unavailable,Driver,1
2241,40-54,38.595,alive,Airbag,Yes,TRUE,Female,42,1997,1995,Deploy,Driver,3
2242, 10-24,55.33,alive,No Airbag,Yes,FALSE,Male,50,1997,1986,Unavailable,Driver,3
2243,55+,55.33,alive,No Airbag,Yes,TRUE,Female,20,1997,1992,Unavailable,Driver,3
2244,55+,55.33,alive,No Airbag,Yes,TRUE,Male,31,1997,1992,Unavailable,Passenger,2
2245,25-39,55.33,alive,No Airbag,Yes,FALSE,Male,23,1997,1990,Unavailable,Driver,2
2246,25-39,55.33,alive,No Airbag,Yes,FALSE,Female,25,1997,1990,Unavailable,Passenger,3
2247, 10-24,38.595,alive,Airbag,Yes,FALSE,Male,41,1997,1997,Deploy,Driver,3
2248, 10-24,38.595,alive,Airbag,Yes,FALSE,Male,19,1997,1997,Deploy,Passenger,2
2249, 10-24,38.595,alive,Airbag,Yes,TRUE,Male,27,1997,1996,Deploy,Driver,3
2250, 10-24,38.595,alive,Airbag,Yes,TRUE,Female,72,1997,1996,Deploy,Passenger,1
2251, 10-24,1008.191,alive,No Airbag,Yes,TRUE,Male,20,1997,1984,Unavailable,Driver,0
2252,55+,41.253,alive,No Airbag,No,TRUE,Male,61,1997,1984,Unavailable,Driver,3
2253,40-54,41.253,dead,No Airbag,No,TRUE,Female,27,1997,1984,Unavailable,Driver,4
2254,25-39,41.253,alive,No Airbag,No,TRUE,Male,37,1997,1985,Unavailable,Driver,2
2255,25-39,41.253,dead,No Airbag,Yes,TRUE,Male,39,1997,1966,Unavailable,Driver,4
2256,25-39,51.137,alive,Airbag,Yes,TRUE,Female,44,1997,1996,Deploy,Driver,1
2257,25-39,51.137,alive,No Airbag,Yes,FALSE,Male,84,1997,1993,Unavailable,Driver,2
2258,25-39,51.137,alive,No Airbag,Yes,FALSE,Female,81,1997,1993,Unavailable,Passenger,4
2259, 10-24,38.595,alive,Airbag,Yes,FALSE,Female,60,1997,1994,NoDeploy,Driver,3
2260, 10-24,1314.622,alive,Airbag,Yes,FALSE,Female,26,1997,1991,Deploy,Driver,1
2261,25-39,9184.952,alive,No Airbag,Yes,TRUE,Female,56,1997,1990,Unavailable,Driver,1
2262, 10-24,38.595,alive,Airbag,Yes,FALSE,Female,35,1997,1996,Deploy,Driver,3
2263,25-39,73.718,alive,No Airbag,Yes,TRUE,Male,44,1997,1993,Unavailable,Driver,3
2264,40-54,73.718,alive,Airbag,Yes,FALSE,Male,43,1997,1995,Deploy,Driver,3
2265,55+,56.976,alive,No Airbag,Yes,TRUE,Male,29,1997,1987,Unavailable,Driver,3
2266,55+,56.976,alive,No Airbag,No,TRUE,Female,19,1997,1987,Unavailable,Passenger,3
2267,25-39,38.595,alive,Airbag,Yes,FALSE,Male,21,1997,1995,NoDeploy,Driver,2
